długość fali [nm] - 1) P=637,9uW	natężenie, jednostki umowne - 1) P=637,9uW	długość fali [nm] - 2) P=1,844mW	natężenie, jednostki umowne - 2) P=1,844mW	długość fali [nm] - 3) P=3,451mW	natężenie, jednostki umowne - 3) P=3,451mW	długość fali [nm] - 4) P=5,397mW	natężenie, jednostki umowne - 4) P=5,397mW	długość fali [nm] - 5) P=7,643mW	natężenie, jednostki umowne - 5) P=7,643mW	długość fali [nm] - 6) P=10,16mW	natężenie, jednostki umowne - 6) P=10,16mW	długość fali [nm] - 7) P=12,93mW	natężenie, jednostki umowne - 7) P=12,93mW	długość fali [nm] - 8) P=15,95mW	natężenie, jednostki umowne - 8) P=15,95mW	
651	28,3138	651	38,806	651	134,345	651	251,446	651	515,473	651	839,25	651	1263,41	651	1728,34	
652	33,9307	652	45,2367	652	110,643	652	258,594	652	500,735	652	803,554	652	1226,15	652	1770,09	
653	47,9344	653	25,5033	653	135,809	653	242,349	653	481,249	653	835,84	653	1258,66	653	1740,83	
654	5,379	654	45,9465	654	111,381	654	279,508	654	503,609	654	813,733	654	1241,98	654	1760,81	
655	8,67586	655	20,8862	655	123,759	655	255,082	655	496,873	655	814,925	655	1254,33	655	1772,74	
656	39,3473	656	25,1914	656	128,92	656	253,826	656	490,372	656	860,242	656	1240,5	656	1761,44	
657	12,1089	657	39,5544	657	119,196	657	279,536	657	505,64	657	849,724	657	1240,5	657	1770,31	
658	2,39129	658	28,7236	658	99,501	658	274,508	658	517,691	658	842,726	658	1258,06	658	1790,84	
659	5,38083	659	18,4145	659	105,279	659	257,724	659	525,248	659	820,669	659	1265,1	659	1766,82	
660	30,4535	660	49,2092	660	125,493	660	253,905	660	531,333	660	845,155	660	1281,12	660	1781,6	
661	5,18776	661	34,7863	661	129,607	661	274,115	661	533,79	661	861,346	661	1253,3	661	1772,23	
662	32,5186	662	25,2686	662	126,995	662	265,413	662	505,822	662	871,726	662	1300,2	662	1798,58	
663	38,0156	663	20,3463	663	95,4327	663	294,326	663	538,678	663	869,927	663	1289,28	663	1778,88	
664	34,3198	664	35,4601	664	137,915	664	276,083	664	533,341	664	855,887	664	1277,62	664	1772,64	
665	3,19908	665	25,3704	665	100,222	665	298,133	665	498,76	665	875,201	665	1304,28	665	1797,3	
666	24,2334	666	35,6916	666	118,961	666	256,874	666	535,248	666	859,084	666	1274,1	666	1817,35	
667	26,198	667	68,7821	667	103,024	667	289,394	667	538,484	667	888,391	667	1315,22	667	1815,75	
668	19,2995	668	57,0922	668	140,408	668	264,823	668	523,049	668	886,297	668	1271,08	668	1796,59	
669	18,1234	669	21,4012	669	100,769	669	262,037	669	551,018	669	886,425	669	1315,12	669	1829,01	
670	12,958	670	36,2537	670	128,686	670	269,461	670	542,95	670	874,268	670	1292,24	670	1817,04	
671	22,7544	671	21,6527	671	134,916	671	296,027	671	527,526	671	879,717	671	1320,76	671	1794,44	
672	0,968607	672	57,0007	672	125,002	672	274,223	672	517,773	672	859,191	672	1317,26	672	1801,12	
673	42,4391	673	47,9848	673	127,141	673	306,129	673	532,126	673	894,487	673	1327,89	673	1797,31	
674	9,90189	674	44,4257	674	99,6891	674	273,262	674	546,121	674	878,272	674	1331,68	674	1840,16	
675	50,0243	675	23,4049	675	147,29	675	308,149	675	538,662	675	860,596	675	1292,72	675	1835,48	
676	10,8697	676	42,1032	676	102,065	676	300,504	676	517,496	676	905,376	676	1315,64	676	1826,28	
677	15,8337	677	22,2461	677	129,803	677	304,85	677	534,211	677	907,242	677	1326,76	677	1808,06	
678	32,4058	678	34,541	678	139,006	678	274,797	678	561,488	678	868,82	678	1317,93	678	1833,58	
679	27,5322	679	63,4402	679	128,73	679	280,652	679	551,205	679	869,289	679	1319,82	679	1813,08	
680	48,251	680	54,2649	680	147,456	680	293,458	680	565,955	680	903,028	680	1331,39	680	1826,61	
681	4,23567	681	25,4466	681	119,244	681	267,599	681	560,607	681	886,831	681	1317,35	681	1837,25	
682	21,9117	682	67,8484	682	150,729	682	286,447	682	558,212	682	908,928	682	1323,24	682	1866,72	
683	24,9494	683	38,899	683	108,341	683	307,155	683	539,45	683	894,088	683	1353,83	683	1842,22	
684	22,0816	684	31,2949	684	148,083	684	311,712	684	539,625	684	904,292	684	1336,43	684	1863,21	
685	2,58732	685	45,4157	685	125,948	685	287,895	685	536,155	685	896,853	685	1346,12	685	1834,8	
686	5,04043	686	51,4201	686	106,902	686	279,73	686	555,248	686	885,101	686	1369,22	686	1849,76	
687	17,3031	687	61,2005	687	130,039	687	316,47	687	542,596	687	931,058	687	1333,92	687	1850,26	
688	29,3495	688	64,6776	688	119,142	688	310,542	688	557,747	688	903,607	688	1369,19	688	1873,41	
689	50,2804	689	24,0073	689	149,753	689	295,029	689	549,746	689	901,807	689	1336,6	689	1850,7	
690	47,9147	690	32,1783	690	133,333	690	293,063	690	560,915	690	898,151	690	1375,51	690	1879,6	
691	7,98421	691	54,1638	691	121,105	691	292,894	691	569,55	691	911,666	691	1349,18	691	1881,73	
692	47,1666	692	39,179	692	137,64	692	298,875	692	557,333	692	906,064	692	1353,02	692	1863,52	
693	24,3241	693	25,3188	693	130,874	693	328,832	693	552,549	693	908,583	693	1381,67	693	1883,18	
694	16,3538	694	39,5206	694	159,978	694	332,446	694	595,82	694	942,966	694	1368,99	694	1896,39	
695	25,6558	695	31,7807	695	120,996	695	333,855	695	550,289	695	934,701	695	1356,16	695	1886,66	
696	5,63467	696	46,1391	696	118,975	696	306,358	696	587,443	696	923,83	696	1388,07	696	1863,43	
697	19,3919	697	34,1877	697	121,219	697	296,466	697	561,812	697	926,34	697	1348,5	697	1907,22	
698	48,7426	698	35,2367	698	123,365	698	314,417	698	574,837	698	911,795	698	1365,26	698	1896,99	
699	21,0807	699	59,8915	699	142,607	699	306,623	699	570,43	699	916,984	699	1385,32	699	1888,93	
700	18,2405	700	45,815	700	136,828	700	328,71	700	603,452	700	929,856	700	1397,47	700	1906,11	
701	8,85981	701	34,7168	701	141,5	701	304,406	701	574,611	701	933,349	701	1358,39	701	1912,43	
702	49,8042	702	26,3616	702	119,811	702	300,665	702	565,914	702	968,271	702	1387,54	702	1889,36	
703	25,5641	703	32,5924	703	160,997	703	333,219	703	577,514	703	958,04	703	1407,36	703	1901,69	
704	2,66014	704	54,1141	704	160,549	704	327,043	704	593,219	704	945,364	704	1370,55	704	1903,38	
705	45,9325	705	51,8658	705	141,733	705	306,575	705	570,141	705	933,416	705	1378,56	705	1923,26	
706	1,56339	706	53,6306	706	135,151	706	322,904	706	599,433	706	950,663	706	1414,17	706	1887,21	
707	47,7955	707	63,5683	707	159,362	707	341,597	707	585,435	707	943,202	707	1407,19	707	1920,27	
708	38,9702	708	40,368	708	134,593	708	314,585	708	612,317	708	978,215	708	1396,08	708	1909,27	
709	35,9462	709	75,8016	709	120,02	709	312,707	709	586,459	709	976,13	709	1398,14	709	1908,32	
710	40,731	710	45,4305	710	123,467	710	310,769	710	618,808	710	984,196	710	1384,53	710	1924,95	
711	8,97387	711	54,6601	711	147,014	711	332,124	711	606,366	711	962,981	711	1429,82	711	1917,57	
712	49,1969	712	46,4566	712	151,006	712	309,029	712	579,956	712	942,282	712	1426,02	712	1939,27	
713	39,5162	713	43,3239	713	125,915	713	315,739	713	610,231	713	956,978	713	1426,85	713	1925,41	
714	21,9847	714	47,4259	714	139,09	714	322,624	714	613,145	714	965,272	714	1425,01	714	1949,61	
715	29,0415	715	58,1732	715	125,898	715	338,691	715	615,632	715	958,906	715	1440,07	715	1941,66	
716	21,6589	716	29,2624	716	131,246	716	342,824	716	602,941	716	978,612	716	1412,91	716	1910,66	
717	20,2209	717	72,892	717	170,991	717	344,019	717	587,092	717	974,238	717	1423,18	717	1940,42	
718	13,9233	718	59,108	718	169,28	718	325,324	718	625,881	718	957,925	718	1404,35	718	1943,97	
719	24,3608	719	59,9166	719	127,043	719	331,637	719	636,501	719	962,124	719	1431,62	719	1958,6	
720	26,4592	720	64,8779	720	174,153	720	349,307	720	611,793	720	979,989	720	1449,5	720	1958,37	
721	44,2325	721	43,9451	721	151,635	721	348,272	721	627,47	721	985,187	721	1415,47	721	1946,77	
722	22,0874	722	48,691	722	133,457	722	341,698	722	643,357	722	961,872	722	1411,36	722	1956,32	
723	42,4272	723	56,242	723	157,59	723	332,291	723	605,46	723	970,526	723	1457,61	723	1925,25	
724	45,5706	724	48,6744	724	172,084	724	337,87	724	634,526	724	977,194	724	1442,17	724	1945,4	
725	48,8512	725	69,8976	725	166,433	725	331,946	725	601,929	725	967,339	725	1451,39	725	1962,5	
726	38,3829	726	76,5308	726	161,735	726	330,362	726	616,814	726	1017,86	726	1438,45	726	1964,13	
727	5,08876	727	58,5958	727	141,802	727	364,621	727	641,565	727	1009,15	727	1455,65	727	1948,3	
728	48,2577	728	44,8127	728	168,186	728	332,285	728	641,25	728	1011,74	728	1432,66	728	1960,13	
729	13,3464	729	38,5148	729	133,795	729	333,314	729	641,947	729	980,125	729	1465,61	729	1943,07	
730	37,0962	730	60,4057	730	172,422	730	357,432	730	652,92	730	1019,03	730	1471,58	730	1979,48	
731	28,238	731	79,8566	731	175,364	731	361,999	731	624,788	731	980,299	731	1473,73	731	1976,62	
732	11,6884	732	38,5224	732	159,838	732	370,043	732	631,033	732	1022,9	732	1439,58	732	1955,94	
733	15,9197	733	46,0998	733	145,505	733	343,866	733	623,031	733	984,723	733	1447,27	733	1945,71	
734	12,4012	734	80,182	734	145,434	734	377,806	734	644,329	734	994,165	734	1474,38	734	1971,82	
735	34,2515	735	43,2004	735	185,072	735	342,303	735	632,141	735	994,558	735	1475,62	735	1994,77	
736	34,2566	736	70,8894	736	146,358	736	374,335	736	643,683	736	989,603	736	1473,3	736	1968,85	
737	43,3723	737	63,8003	737	161,381	737	335,023	737	631,981	737	1013,43	737	1458,54	737	1972,51	
738	22,5864	738	77,1781	738	150,556	738	358,681	738	621,965	738	1007,26	738	1467,6	738	1965,84	
739	39,478	739	78,1993	739	174,434	739	361,517	739	662,937	739	1032,42	739	1454,64	739	1977,86	
740	42,7575	740	60,3055	740	186,684	740	342,945	740	642,61	740	1032,02	740	1477,55	740	1958,95	
741	47,2489	741	50,7513	741	161,681	741	362,587	741	637,548	741	1036,1	741	1474,51	741	1990,17	
742	36,2131	742	60,8731	742	148,635	742	367,255	742	637,349	742	1017,25	742	1473,09	742	1959,79	
743	40,3986	743	67,62	743	172,31	743	347,693	743	634,552	743	1018,19	743	1485,79	743	1998,81	
744	29,968	744	60,6717	744	187,4	744	343,612	744	654,926	744	1031,8	744	1465,44	744	1976,83	
745	31,9605	745	49,498	745	146,165	745	350,422	745	639,62	745	1007,47	745	1462,78	745	2007,69	
746	3,92243	746	79,9796	746	191,671	746	352,918	746	662,471	746	1018,33	746	1496,13	746	1992,69	
747	7,30673	747	47,5397	747	175,896	747	345,51	747	633,714	747	1023,29	747	1466,88	747	1972,24	
748	11,3062	748	49,5664	748	149,775	748	374,797	748	671,473	748	1050,63	748	1496,81	748	2006,9	
749	38,0795	749	73,2895	749	172,824	749	365,012	749	643,711	749	1029,55	749	1501,05	749	1997,04	
750	15,6195	750	50,2454	750	160,117	750	353,956	750	686,008	750	1022,69	750	1494,86	750	2005,53	
751	28,8039	751	67,0977	751	167,501	751	368,041	751	688,075	751	1053,27	751	1488,84	751	2020,25	
752	25,0783	752	53,0339	752	163,957	752	373,491	752	677,956	752	1038,78	752	1499,48	752	1974,4	
753	35,9146	753	81,127	753	190,479	753	369,766	753	649,772	753	1046,4	753	1488,95	753	2001,16	
754	37,7081	754	51,8225	754	168,634	754	392,974	754	672,238	754	1038,57	754	1506,26	754	1997,29	
755	43,1596	755	86,5524	755	173,835	755	381,931	755	686,967	755	1052,83	755	1467,84	755	1992,35	
756	3,28162	756	73,5828	756	158,507	756	368,226	756	660,779	756	1067,81	756	1468,95	756	1992,01	
757	11,2563	757	40,3131	757	168,759	757	398,314	757	665,127	757	1051,97	757	1487,04	757	1996,61	
758	51,8684	758	60,4541	758	160,867	758	387,266	758	670,744	758	1072,65	758	1482,28	758	2008,35	
759	3,18375	759	84,8303	759	195,23	759	360,029	759	679,797	759	1030,72	759	1510,09	759	2024,72	
760	45,7972	760	70,625	760	172,561	760	360,311	760	697,587	760	1044,69	760	1494,63	760	2030,97	
761	16,2279	761	53,1916	761	189,935	761	368,024	761	698,861	761	1076,91	761	1520,24	761	1997,46	
762	31,6907	762	45,9953	762	200,191	762	400,888	762	687,443	762	1049,26	762	1509,96	762	2002,98	
763	43,0542	763	80,7039	763	156,018	763	380,524	763	656,384	763	1052,82	763	1507,5	763	2004,97	
764	34,7511	764	71,8379	764	181,308	764	378,66	764	683,268	764	1081,29	764	1504,75	764	2034,19	
765	28,3851	765	50,3584	765	161,824	765	385,59	765	702,147	765	1079,49	765	1488,87	765	2017,47	
766	37,457	766	45,3554	766	178,458	766	380,16	766	675,72	766	1038,86	766	1512,16	766	2041,86	
767	28,0563	767	42,5491	767	185,334	767	399,819	767	688,365	767	1048,5	767	1508,35	767	2004,17	
768	24,6628	768	68,243	768	197,199	768	400,639	768	710,107	768	1046,6	768	1529,43	768	2023,12	
769	43,8091	769	88,0698	769	205,553	769	401,359	769	672,077	769	1085,74	769	1507,97	769	2013,93	
770	23,2785	770	78,6285	770	173,986	770	385,163	770	684,775	770	1048,37	770	1492,18	770	2025,29	
771	33,9282	771	58,3632	771	188,582	771	402,549	771	688,977	771	1090,92	771	1496,01	771	2013,73	
772	51,0968	772	64,8075	772	170,239	772	374,496	772	673,049	772	1085,13	772	1527,76	772	2000,07	
773	41,5646	773	80,7756	773	180,542	773	400,712	773	703,079	773	1090,58	773	1541,65	773	2020,93	
774	5,51961	774	44,8799	774	179,096	774	391,893	774	702,599	774	1076,59	774	1541,05	774	2050,66	
775	41,3177	775	88,2792	775	199,965	775	383,062	775	709,832	775	1053,08	775	1530,87	775	2012,89	
776	24,4707	776	62,7975	776	162,242	776	375,698	776	679,615	776	1086,89	776	1510,78	776	2047,57	
777	33,1752	777	69,9977	777	209,381	777	375,885	777	721,068	777	1059,36	777	1528,96	777	2044,95	
778	37,9001	778	81,8431	778	168,799	778	388,196	778	692,963	778	1064,41	778	1540,16	778	2045,59	
779	47,8329	779	46,7646	779	184,263	779	392,065	779	711,181	779	1068,13	779	1516,44	779	2037,08	
780	51,8254	780	89,9911	780	183,461	780	381,776	780	681,053	780	1065,11	780	1551,06	780	2010,88	
781	5,92594	781	59,973	781	211,468	781	389,992	781	692,548	781	1079,89	781	1534,03	781	2037,91	
782	9,815	782	55,5454	782	164,906	782	419,657	782	707,557	782	1075,79	782	1505,11	782	2010,8	
783	26,7837	783	46,6991	783	187,826	783	426,523	783	690,313	783	1098,22	783	1549,06	783	2013,76	
784	22,7333	784	82,3033	784	205,299	784	409,734	784	712,247	784	1064,89	784	1511,14	784	2052,31	
785	46,6397	785	76,0616	785	167,864	785	410,505	785	703,807	785	1092,02	785	1516,21	785	2015,54	
786	32,403	786	84,0593	786	212,316	786	385,338	786	698,407	786	1099,81	786	1537,65	786	2041,71	
787	41,5621	787	58,7232	787	174,707	787	394,683	787	696,82	787	1111,42	787	1530,18	787	2056,59	
788	41,1742	788	92,2522	788	186,531	788	398,698	788	718,192	788	1088,83	788	1514,17	788	2057,66	
789	15,6185	789	83,2957	789	189,367	789	418,677	789	718,319	789	1071,09	789	1557,2	789	2036,32	
790	43,0969	790	87,6585	790	181,251	790	401,011	790	711,035	790	1072,17	790	1528,1	790	2034,01	
791	36,7395	791	53,1453	791	212,034	791	421,18	791	701,429	791	1096,91	791	1537,34	791	2039,16	
792	46,0962	792	46,6084	792	175,356	792	411,437	792	718,271	792	1082,39	792	1555,84	792	2022,21	
793	38,0743	793	54,7276	793	214,821	793	407,214	793	708,137	793	1075,98	793	1520,7	793	2066,47	
794	33,0044	794	82,726	794	182,118	794	406,943	794	731,728	794	1122,8	794	1541,47	794	2030,59	
795	8,10444	795	88,7451	795	212,541	795	396,599	795	714,941	795	1093,96	795	1551,59	795	2027,48	
796	32,8611	796	54,5847	796	190,126	796	420,582	796	718,763	796	1077,62	796	1544,7	796	2038,12	
797	27,4127	797	64,8424	797	183,68	797	405,216	797	712,244	797	1082,34	797	1522,75	797	2053,12	
798	42,3773	798	66,0645	798	176,673	798	428,928	798	738,899	798	1079,43	798	1526,24	798	2068,41	
799	36,4939	799	55,6999	799	223,542	799	426,033	799	707,761	799	1096,92	799	1524,16	799	2064,22	
800	24,5931	800	60,3169	800	201,781	800	433,326	800	740,229	800	1110,94	800	1553,05	800	2051,14	
801	33,7951	801	66,6993	801	198,943	801	440,542	801	712,284	801	1102,87	801	1545,11	801	2040,14	
802	36,0124	802	64,8724	802	176,397	802	396,362	802	711,371	802	1107,14	802	1536,32	802	2069,52	
803	9,86022	803	58,7902	803	182,69	803	416,298	803	746,882	803	1096,13	803	1528,74	803	2066,02	
804	49,2895	804	66,7619	804	198,227	804	438,52	804	733,986	804	1101,25	804	1568,77	804	2049,08	
805	4,44744	805	75,5216	805	183,897	805	421,7	805	723,574	805	1103,61	805	1565,86	805	2065,32	
806	8,13425	806	81,107	806	185,998	806	418,05	806	737,433	806	1092,55	806	1546,89	806	2032,77	
807	28,3395	807	91,8814	807	213,055	807	437,414	807	737,823	807	1108,17	807	1580,12	807	2040,18	
808	11,7946	808	83,5763	808	206,419	808	426,846	808	722,466	808	1119,23	808	1533,39	808	2037,59	
809	16,6318	809	77,9477	809	192,262	809	408,082	809	750,415	809	1090,6	809	1554,79	809	2046,36	
810	51,508	810	55,1498	810	226,797	810	405,231	810	753,35	810	1101,32	810	1572,1	810	2051,57	
811	4,92565	811	84,9936	811	181,696	811	427,917	811	751,538	811	1125,67	811	1571,16	811	2056,44	
812	51,629	812	57,6777	812	230,254	812	435,263	812	742,65	812	1098,37	812	1562,13	812	2070,24	
813	10,3695	813	60,4956	813	209,199	813	438,222	813	742,146	813	1096,41	813	1575,13	813	2045,82	
814	5,27819	814	65,5486	814	197,535	814	428,673	814	734,923	814	1135,86	814	1541,54	814	2029,86	
815	5,62768	815	73,5463	815	219,153	815	422,907	815	757,685	815	1109,37	815	1586,23	815	2032,85	
816	31,1977	816	76,679	816	213,808	816	452,98	816	732,383	816	1118,28	816	1579,22	816	2060,33	
817	37,4923	817	57,5212	817	222,618	817	409,367	817	718,382	817	1122,3	817	1582,96	817	2040,33	
818	26,9058	818	99,9614	818	215,151	818	457,971	818	751,432	818	1101,22	818	1565,16	818	2037,45	
819	10,4829	819	88,4567	819	194,109	819	442,113	819	727,824	819	1109,55	819	1554,18	819	2079,65	
820	53,1286	820	88,5491	820	231,915	820	419,912	820	732,303	820	1149,17	820	1577,46	820	2049,97	
821	24,4417	821	94,9098	821	211,006	821	461,055	821	735,504	821	1114,44	821	1567,08	821	2047,22	
822	26,5869	822	61,2252	822	215,214	822	435,285	822	767,986	822	1133,51	822	1572,26	822	2049,73	
823	33,1308	823	63,8337	823	226,418	823	441,702	823	773,632	823	1137,21	823	1580,1	823	2047,63	
824	43,7338	824	97,9638	824	215,96	824	438,295	824	774,513	824	1114,8	824	1582,51	824	2036,61	
825	36,6094	825	83,5421	825	225,368	825	455,54	825	758,712	825	1128,2	825	1593,69	825	2054,47	
826	15,5431	826	71,8267	826	191,209	826	418,924	826	774,985	826	1130,56	826	1580,14	826	2056,44	
827	21,2269	827	60,5103	827	194,181	827	454,58	827	766,903	827	1115,69	827	1590,82	827	2044,77	
828	18,8947	828	66,2936	828	214,709	828	432,627	828	749,638	828	1115,83	828	1557,44	828	2071,31	
829	48,9202	829	55,2165	829	220,75	829	423,368	829	730,578	829	1143,97	829	1562,15	829	2059,06	
830	10,8085	830	58,7244	830	202,375	830	459,462	830	762,57	830	1147,97	830	1596	830	2056,66	
831	48,601	831	68,3197	831	236,789	831	445,333	831	772,6	831	1135,29	831	1589,41	831	2040,5	
832	7,04409	832	99,0589	832	233,467	832	456,621	832	779,591	832	1157,74	832	1577,37	832	2069,93	
833	8,94401	833	71,2725	833	197,699	833	451,918	833	782,37	833	1147,34	833	1568,6	833	2072	
834	43,6294	834	88,8267	834	216,915	834	455,957	834	765,861	834	1144,05	834	1576,63	834	2050,97	
835	52,5899	835	73,1828	835	210,834	835	473,404	835	766,139	835	1154,11	835	1561,72	835	2054,72	
836	20,6482	836	102,586	836	236,33	836	428,415	836	780,033	836	1135,26	836	1568,01	836	2055,69	
837	22,9255	837	74,3841	837	213,282	837	448,496	837	758,54	837	1143,33	837	1600,87	837	2058,69	
838	16,1618	838	75,4786	838	200,599	838	476,142	838	787,356	838	1154,79	838	1582,86	838	2059,03	
839	35,3816	839	70,0119	839	232,696	839	471,145	839	780,095	839	1123,01	839	1565,78	839	2036,29	
840	28,971	840	67,5619	840	209,311	840	430,009	840	762,387	840	1126,4	840	1591,19	840	2065,62	
841	41,1922	841	80,0992	841	236,068	841	435,247	841	742,282	841	1144,57	841	1569,13	841	2061,61	
842	33,245	842	103,499	842	215,634	842	430,68	842	754,862	842	1162,74	842	1560,76	842	2037,07	
843	20,2697	843	84,31	843	206,695	843	463,164	843	744,698	843	1124,9	843	1588,38	843	2072,77	
844	26,9957	844	65,4247	844	212,263	844	455,342	844	783,015	844	1145,88	844	1580,55	844	2077,74	
845	25,7303	845	97,7183	845	204,388	845	468,28	845	758,765	845	1123,43	845	1557,06	845	2060,82	
846	20,0655	846	63,846	846	206,637	846	458,85	846	780,977	846	1167,46	846	1591,02	846	2034,22	
847	21,8122	847	85,9824	847	243,284	847	470,789	847	776,037	847	1137	847	1585,8	847	2059,08	
848	30,4056	848	75,0725	848	203,831	848	476,202	848	773,496	848	1150,38	848	1600,89	848	2072,74	
849	5,08262	849	84,8553	849	210,555	849	441,282	849	791,382	849	1169,46	849	1598,72	849	2043,67	
850	28,7221	850	94,3333	850	224,93	850	473,844	850	759,862	850	1131,52	850	1601,83	850	2039,2	
851	45,7756	851	73,3062	851	251,775	851	483,922	851	780,635	851	1151,14	851	1583,8	851	2065,68	
852	38,2366	852	63,8397	852	238,335	852	483,578	852	779,625	852	1153,54	852	1598,18	852	2072,82	
853	19,7659	853	83,8444	853	252,876	853	474,827	853	790,671	853	1166,65	853	1567,32	853	2046,74	
854	43,1297	854	96,8648	854	208,735	854	446,082	854	785,1	854	1151,38	854	1558,62	854	2032,27	
855	11,0174	855	98,239	855	252,956	855	446,47	855	765,861	855	1151,46	855	1561,73	855	2046,3	
856	36,102	856	96,2309	856	216,366	856	441,477	856	792,889	856	1175,24	856	1606,91	856	2068,58	
857	20,1157	857	73,6019	857	220,985	857	444,434	857	781,378	857	1133,35	857	1580,84	857	2070,58	
858	47,1681	858	87,0175	858	252,609	858	483,398	858	763,396	858	1163,13	858	1587,27	858	2041,19	
859	21,3354	859	74,1196	859	218,725	859	469,707	859	776,261	859	1178,44	859	1575,16	859	2052,29	
860	13,406	860	87,2793	860	240,453	860	477,224	860	760,373	860	1168,94	860	1579,87	860	2029,47	
861	40,3541	861	101,151	861	235,499	861	475,615	861	756,049	861	1172,61	861	1605,63	861	2043,81	
862	5,0165	862	107,523	862	221,942	862	465,842	862	782,358	862	1147,39	862	1608,7	862	2074,3	
863	7,4749	863	111,418	863	256,45	863	456,646	863	805,248	863	1138,02	863	1574,21	863	2058,33	
864	51,9775	864	99,2365	864	231,697	864	450,756	864	801,18	864	1137,94	864	1584,08	864	2038,5	
865	7,08951	865	96,861	865	239,956	865	475,167	865	794,747	865	1163,68	865	1577,45	865	2067,15	
866	9,77779	866	88,4163	866	212,23	866	464,081	866	766,495	866	1141,39	866	1569,42	866	2063,28	
867	14,6384	867	86,4839	867	214,75	867	477,234	867	795,39	867	1173,35	867	1565,49	867	2039,35	
868	33,0112	868	84,7925	868	255,76	868	485,519	868	774,499	868	1179,92	868	1565,6	868	2035,3	
869	28,0609	869	106,174	869	236,761	869	452,596	869	789,417	869	1167,12	869	1595,89	869	2043,05	
870	32,7883	870	71,9607	870	241,619	870	489,645	870	778,394	870	1183,24	870	1595,34	870	2035,35	
871	40,2692	871	76,7709	871	238,078	871	482,013	871	767,543	871	1175,2	871	1567,07	871	2029,19	
872	35,3968	872	108,104	872	219,466	872	484,948	872	802,382	872	1139,83	872	1563,64	872	2031,63	
873	29,7096	873	85,9693	873	243,751	873	482,261	873	793,671	873	1169,2	873	1600,5	873	2073,37	
874	28,5454	874	110,492	874	226,552	874	498,948	874	769,043	874	1173,12	874	1600,33	874	2045,79	
875	13,6783	875	83,1413	875	239,042	875	463,394	875	766,117	875	1151,61	875	1606,48	875	2056,79	
876	10,0056	876	83,5504	876	235,005	876	499,21	876	781,432	876	1183,59	876	1608,15	876	2058,95	
877	54,5112	877	86,9518	877	263,434	877	480,438	877	772,55	877	1154,2	877	1569,32	877	2036,11	
878	46,6052	878	81,9148	878	243,304	878	463,346	878	775,577	878	1152,83	878	1588,97	878	2064,32	
879	9,56446	879	102,484	879	221,85	879	495,803	879	775,415	879	1155,07	879	1573,31	879	2067,62	
880	21,6852	880	107,645	880	224,932	880	475,13	880	787,003	880	1177,64	880	1599,74	880	2059,99	
881	40,2871	881	76,2536	881	233,088	881	503,399	881	813,593	881	1167,21	881	1567,06	881	2066,49	
882	53,599	882	79,0065	882	245,312	882	493,38	882	797,647	882	1188,56	882	1590,15	882	2036,1	
883	34,0687	883	73,2067	883	255,982	883	489,855	883	809,812	883	1148,52	883	1603,09	883	2067	
884	8,67298	884	100,173	884	225,329	884	507,777	884	794,933	884	1176,84	884	1582,7	884	2037,06	
885	15,2681	885	111,719	885	246,971	885	487,283	885	800,865	885	1162,5	885	1590,47	885	2050,66	
886	54,3738	886	115,435	886	249,402	886	486,469	886	813,58	886	1174,81	886	1581,34	886	2049,15	
887	43,0374	887	96,6317	887	224,206	887	496,853	887	816,636	887	1187,28	887	1611,4	887	2038,81	
888	26,1041	888	95,9918	888	238,129	888	473,938	888	811,395	888	1182,27	888	1581,04	888	2016,03	
889	21,0853	889	111,202	889	258,586	889	498,978	889	790,137	889	1180,92	889	1571,79	889	2054,22	
890	14,3205	890	88,6002	890	269,329	890	508,316	890	822,217	890	1156,25	890	1571,19	890	2020,93	
891	52,8131	891	110,233	891	232,706	891	482,435	891	800,286	891	1150,23	891	1567,05	891	2046,15	
892	27,2393	892	80,6929	892	234,706	892	501,052	892	820,845	892	1175,96	892	1582,43	892	2037,21	
893	10,2061	893	83,5445	893	244,603	893	507,371	893	782,883	893	1172,4	893	1605,4	893	2048,4	
894	51,3789	894	85,831	894	224,453	894	480,325	894	801,039	894	1146,9	894	1605,42	894	2029	
895	40,5153	895	100,956	895	235,101	895	474,286	895	801,369	895	1166,75	895	1588,9	895	2051,34	
896	48,381	896	71,7148	896	274,07	896	472,462	896	803,797	896	1170,18	896	1568,98	896	2018,55	
897	39,9228	897	116,193	897	265,888	897	479,685	897	819,477	897	1164,33	897	1589,4	897	2048,75	
898	11,0475	898	91,9782	898	257,588	898	508,882	898	797,089	898	1148,04	898	1573,59	898	2039,69	
899	19,0801	899	87,7219	899	241,912	899	489,117	899	784,644	899	1172,46	899	1596,08	899	2057,7	
900	7,39282	900	99,9714	900	264,682	900	512,261	900	808,315	900	1163,39	900	1605,68	900	2019,72	
901	9,05534	901	92,2503	901	259,135	901	482,712	901	829,464	901	1156,78	901	1596,01	901	2030,69	
902	24,3742	902	109,218	902	229,821	902	515,602	902	827,901	902	1189	902	1569,64	902	2045,12	
903	11,8523	903	96,2332	903	251,956	903	495,436	903	812,677	903	1190,36	903	1573,56	903	2040,95	
904	15,2539	904	85,6123	904	248,863	904	517,273	904	803,096	904	1184,98	904	1570,69	904	2034,18	
905	11,2065	905	74,5658	905	243,762	905	509,394	905	794,49	905	1174,3	905	1601,28	905	2017,71	
